PARAMETROS	UNIDAD_ORG	RESPUESTA

FPMC/ REMITE DISPOSICIÓN N° 01. <JGUIZADODJ@MPFN.GOB.PE>MINISTERIO PUBLICO	SECRETARIA GENERAL	SE HA FINALIZADO LA PRESENTE HOJA DE RUTA, MEDIANTE ESCRITO DE APERSONAMIENTO, EN VIRTUD DEL CUAL SE HA SOLICITADO COPIA DE VOUCHER DE PAGO POR CONCEPTO DE REPARACIÓN CIVIL. GUARDA RELACIÓN CON EL LEGAJO PENAL P-16649-2020

REF. A CASO N° 4006014503-2020-98-0, CÉDULA DE NOTIFICACIÓN REMITE DISPOSICIÓN N°01 MINISTERIO PUBLICO	PROCURADURIA PUBLICA	SE HA FINALIZADO LA PRESENTE HOJA DE RUTA, MEDIANTE ESCRITO DE APERSONAMIENTO DE FECHA 27 DE AGOSTO DE 2020, SOLICITÁNDOSE COPIA DE VOUCHER DE PAGO POR CONCEPTO DE REPARACIÓN CIVIL. GUARDA RELACIÓN CON EL LEGAJO PENAL P-154440-2020

SOLICITUD DE PLAZO ADICIONAL PARA ATENDER EL REQUERIMIENTO DE INFORMACIÓN DEL PROYECTO CREACIÓN DE BANDA ANCHA PARA LA CONECTIVIDAD INTEGRAL Y DESARROLLO SOCIAL DE LA REGIÓN LA LIBERTAD. (OFICIO N° 000148-2020-CG/MPROY)CONTRALORIA GENERAL DE LA REPUBLICA	PROGRAMA NACIONAL DE TELECOMUNICACIONES - DIRECCIÓN EJECUTIVA	CON OFICIO N° 1317-2020-MTC/24 + INFORME 2076-2020-MTC/24-DSP

SOLICITO LA CONSTRUCCIÓN E IMPLEMENTACIÓN DE CENTROS DE AISLAMIENTO DE ATENCIÓN TEMPORALES - CAAT EN LA SELVA CENTRAL DE LA REGIÓN DE JUNÍN.CONGRESO DE LA REPUBLICA	SECRETARIA GENERAL	SE REMITIÓ OFICIO A LA MESA DE PARTES DEL CONGRESO Y SE RECIBIÓ CARGO

SE REQUIERE INFORMACIÓN URGENTEMINISTERIO PUBLICO	OFICINA GENERAL DE GESTION DE RECURSOS HUMANOS-(NUEVO-ROF)	SE NOTIFICO EL OFICIO N° 269-2020-MTC/11 Y SE ADJUNTA EL CARGO DE NOTIFICACION Y DEBIDAMENTE RECEPCIONADO.

SEGUNDA FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LIMA: REITERA SOLICITUD REALIZADA CON EXPEDIENTE E-395197-2019 EN RELACION A ACTOS ILEGALES ACAECIDOS EN LA COMISION DE SERVICIOS POR EL TRASLADO DE ESTRUCTURAS METALICAS. EN EL PLAZO DE 48 HORAS.MINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	ACUMULAR

LA 7° FISCALIA PROVINCIAL PENAL CORPORATIVA DEL CALLAO: SOLICITA EN UN PLAZO DE 48 HORAS INFORME SI EL SR. LUIS GONZALES HERNANDEZ Y LIMBER FERNANDEZ LOZANO CUENTA CON AUTORIZACIÓN PARA CONDUCIR VEHÍCULOS MOTORIZADOS.MINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	ATENDIDO CON EL OFICIO INDICADO (T.R.)

REF.A LA POSIBILIDAD DE ASIGNACIÓN TEMPORAL DE ESPECTRO RADIOELÉCTRICO EN LA BANDA DE FRECUENCIAS 1,750 – 1,780 MHZ / 2,150 – 2,180 MHZ EN EL MARCO DEL DECRETO LEGISLATIVO N° 1478 REF.OF.1496-2020-MTC/27 DE FECHA 31 DE AGOSTO DE 2020(<MPARDOFIGUEROA@PROINVERSION.GOB.PE>)MINISTERIO DE ECONOMIA Y FINANZAS	DIRECCION GENERAL DE PROGRAMAS Y PROYECTOS DE COMUNICACIONES-(NUEVO-ROF)	SE TOMÓ CONOCIMIENTO

BANDEJA DIGITAL: ACOGIMIENTO AL SILENCIO ADMINISTRATIVO POSITIVO, SOLICITUD DE CONDONACIÓN DE MULTAS.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	NULL

REMITE VOUCHER DE PAGO DE PRINCIPIO DE OPORTUNIDAD (N° 034110319-5-G) POR EL MONTO DE S/ 130.00MINISTERIO PUBLICO	PROCURADURIA PUBLICA	A CONOCIMIENTO

"INVITACIÓN  A LA DÉCIMO NOVENA SESIÓN ORDINARIA DE ESTE ÓRGANO DEL CONGRESO, QUE

SE REALIZARÁ EL MARTES 08 DE SEPTIEMBRE DE 2020, A LAS 08:00 A.M., EN FORMA VIRTUAL

A TRAVÉS DEL PROGRAMA MICROSOFT TEAMS, A FIN DE QUE TENGA A BIEN INFORMAR

RESPECTO A: ""REINICIO DE ACTIVIDADES DEL SERVICIO DE VUELOS INTERNACIONALES PARA LOS PRIMEROS

DÍAS DEL MES DE OCTUBRE, PARALIZADOS PARA EVITAR CONTAGIOS DE COVID-19.

DETALLES Y PROTOCOLOS PERTINENTES QUE GARANTICEN EL TRASLADO DE LOS CIUDADANOS"". (CORREO: COVID19@CONGRESO.GOB.PE)

CONGRESO DE LA REPUBLICA"	DESPACHO MINISTERIAL	ATENDIDO CON OFICIO N° 045-2020-MTC/01.EGCH

NOTIFICA DISPOSICION FISCAL N° 02-2020 - CASO FISCAL 1137-2020, CEDULA DE NOTIFICACION 3367-2020 (<MP1FPPCMP4D@GMAIL.COM>)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	SE FINALIZA LA PRESENTE HOJA DE RUTA, POR CUANTO MEDIANTE ESCRITO DE APERSONAMIENTO SE HA SOLICITADO LA REMISIÓN DE LOS VOUCHERS DE PAGO POR CONCEPTO DE REPARACIÓN CIVIL A FAVOR DEL MTC. GUARDA RELACIÓN CON EL LEGAJO PENAL P-017651-2020.

LA PRIMERA FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN CORRUPCION DE FUNCIONARIOS, SOLICITA SE LE REMITA COPIAS CERTIFICADAS O FEDATEADAS DE LOS CONTRATOS CELEBRADOS CON LA EMPRESA SERVIMOTRIZ S.A.MINISTERIO PUBLICO	SECRETARIA GENERAL	NULL

REMITO CÉDULA DE NOTIFICACIÓN NRO. 2200-2020MINISTERIO PUBLICO	PROCURADURIA PUBLICA	APERSONAMIENTO AL ORGANO FISCAL

NOTIFICA DISPOSICIÓN N°01, REFERENTE AL CASO N° 3006014504-2020-512-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	SE HA FINALIZADO LA PRESENTE HOJA DE RUTA, MEDIANTE ESCRITO DE APERSONAMIENTO EN VIRTUD DEL CUAL SE HA SOLICITADO COPIA SIMPLE DE VOUCHER QUE PAGO DE REPARACIÓN CIVIL. GUARDA RELACIÓN CON LEGAJO PENAL P-16344-2020

CORREN TRASLADO DEL OFICIO DEL OFICIO N° 09 2 2020 MD P /A,  SUSCRITO POR EL ALCALDE DISTRITAL DE PIMPINGOS C UTERVO CAJAMARCA, RESPECTO A LA SOLICITUD DE APOYO CON GRE SAL EN EL SEG U IMIENTO A LOS PROYECTOS DE I NVERSIÓN P Ú BLIC A C ORR ES PONDIENTE AL SECTOR DEL MTC PROVIAS DESCENTRALIZADOCONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE REMITIÓ OFICIO A MESA DE PARTES DEL CONGRESO Y SE RECIBIÓ CARGO

SOLICITO INFORMACIÓN REFERENTE AL PROGRAMA ARRANCA PERÚ EN TACNA. CONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE REMITIÓ OFICIO A MESA DE PARTES DEL CONGRESO Y SE RECIBIÓ CARGO

REMITE PROVIDENCIA FISCAL, TÉNGASE POR CONSENTIDA LA DISPOSICIÓN DE ARCHIVO (CARPETA FISCAL N° 2506014506-2020-501)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	PARA ARCHIVO

"FISCALIZACION POSTERIOR / ALBARRACIN  CLAUDIO MARCELO / DUPLICADO DE LICENCIA DE CONDUCIR CLASE A, CATEGORIAS I, II-A, II-B, III-A, III-C

MINISTERIO PUBLICO"	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	NULL

BANDEJA DIGITAL: SOLICITA ELABORACIÓN DE PROYECTO NORMATIVO QUE AUTORICE LA EJECUCIÓN DE OBRAS PÚBLICAS A TRAVÉS DEL PROYECTO ESPECIAL LEGADO PANAMERICANO DEBIDO A LA EMERGENCIA SANITARIA, ENTRE OTROS.DESPACHO PRESIDENCIAL	SECRETARIA GENERAL	NULL

OFICIO Nº D004111-2020-PCM-SC - REITERA SOLICITUD DE ASIGNACIÓN DE PRESUPUESTO Y TRANSFERENCIA CON CÓDIGO ÚNICO N° 2458643 A PROVIAS DESCENTRALIZADO.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	FUE CONTESTADO CON EL INFORME NÚMERO 27 EN EL TRÁMITE E012012291. Y NOTIFICACO A LA MUNICIPALIDAD DE SAN BERNARDINO CON EL OFICIO 237 POR D.E. PVD

"COMUNICACIÓN DE INFORME DE CONTROL Y CONCURRENTE N°7010-2020-CG/MPROY-SCC, PARA EL SEGUIMIENTO Y EVALUACIÓN DE ACCIONES EN RELACIÓN AL PROYECTO ""MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DEPORTIVOS DEL COMPLEJO DEPORTIVO ANDRES AVELINO CACERES"". ADJUNTA  01 FILECONTRALORIA GENERAL DE LA REPUBLICA"	ORGANO DE CONTROL INSTITUCIONAL	SE TOMÓ CONOCIMIENTO DEL INFORME Y ELABORÓ HOJA DE EVALUACIÓN SOLICITADA

"SOLICITO EVALUACIÓN DE FICHA TÉCNICA SOCIO AMBIENTAL- FITSA, DEL PROYECTO

“MEJORAMIENTO A NIVEL DE TRATAMIENTO SUPERFICIAL BICAPA DE LA

CARRETERA EMP. AM - 106 - CHISQUILLA, DISTRITO DE CHISQUILLAPROVINCIA DE BONGARA - DEPARTAMENTO DE AMAZONAS”. (CORREO: GRIMALDOVASQUEZCONGRESISTA@GMAIL.COM)CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE REMITIÓ OFICIO CONFORME

"BANDEJA DIGITAL: ACCESO A LA INFORMACIÓN - NECESITO POR FAVOR SE ME PROPORCIONE LAS NOTIFICACIONES DE  
MI TRAMITE EN LA MTC .QUE NO ME LLEGARON EN MI DOMICILIO
E-250840-2019
E-250846-2019 - OBSERVACION: E-250840-2019
E-2508462019MINISTERIO DE ECONOMIA Y FINANZAS"	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	ATENDIDO CON FECHA 10-09-2020 MEDIANTE CORREO ELECTRÓNICO.

PRIMERA FISCALIA PROVINCIAL PENAL CORPORATIVA DE VENTANILLA: SOLICITA INFORMACION URGENTE SOBE EL RECORD DE TRANSITO Y OTROS DE MIKE HENEY GAMARRA FRANCO.MINISTERIO PUBLICO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	NULL

REMITE DISPOSICIÓN FISCAL N° 01, ABSTENCIÓN DEL EJERCICIO DE LA ACCIÓN PENAL (CARPETA FISCAL N° 2506014505-2020-335-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	PASA PARA ARCHIVAR

BANDEJA DIGITAL: 1    SOLICITA ASISTENCIA ANTE LA SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCÍAS, DEBIDO A PRESUNTA INTERVENCIÓN Y RETENCIÓN DE PLACAS DE AUTOMÓVIL, ENTRE OTROS.DESPACHO PRESIDENCIAL	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	CON OFICIO N° 1389-2020-MTC/24 + INFORME 043-2020-24-05

FISCALÍA PROVINCIAL PENAL CORPORATIVA DE TUMBES. REMITE CÉDULAS DE NOTIFICACIÓN -  DISPOSICIÓN N° 01, DEL 12 DE AGOSTO DE 2020MINISTERIO PUBLICO	PROCURADURIA PUBLICA	APERSONAMIENTO AL PROCESO COMO PARTE AGRAVIADA.

"SEGUIMIENTO A LA CARTERA DE PROYECTOS PRIORIZADOS ENCARGADOS A LA OFICINA DE

CUMPLIMIENTO DE GOBIERNO E INNOVACIÓN SECTORIAL. (CORRE: DSIVINCHA@PCM.GOB.PE)

PCM"	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE ARCHIVA DE ACURDO A LO INDICADO EN EL CORREO DEL 01.09.20 ESP. ALBRTO DE LA CRUZ

OFICIO Nº D004023-2020-PCM/SC - LA ASOCIACIÓN DE TRANSPORTISTAS DEL PERÚ & NORTE – RUC 20605304444. PRESENTA UNA ALTERNATIVA DE TRANSPORTE EN LOS CORREDORES Y METROPOLITANO EN EL ESTADO DE EMERGENCIAPCM	SECRETARIA GENERAL	REMITIDO  A LA ATU A TRAVES DEL SERVICIO DE NOTIFICACIONES 

SOLICITA UNA OPINIÓN INSTITUCIONAL DEL PROYECTO DE LEY 5981/2020-CR, QUE PROPONE UNA “LEY QUE MODIFICA LA LEY 30900 LEY QUE CREA LA AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO (ATU)”, PROYECTO DE AUTORÍA DEL CONGRESISTA MARCOS ANTONIO PICHILINGUE GÓMEZ. CONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE REMITIÓ OFICIO CONFORME

"REMITE DISPOSICIÓN N° 01 DE DISPOSICIÓN DE ARCHIVO.

CARPETA FISCAL N° 442-2020

REMITE: CUARTA FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNASMINISTERIO PUBLICO"	PROCURADURIA PUBLICA	INFORME DE ARCHIVO POR ABSTENCION DE LA ACCION PENAL

REMITE VOUCHER DE PAGO POR REPARACIÓN CIVIL (CARPETA FISCAL N° 321-2020)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	A CONOCIMIENTO

"ASISTENCIA TECNICA EN EL MONITOREO Y EVALUACION DE LAS ACTIVIDADES DE MANTENIMIENTO DE LOS EQUIPOS MEDICOS Y/O CAMAS/CAMILLAS HOSPITALARIAS DE AMBIENTES DE HOSPITALIZACION TEMPORAL DEL ""HOSPITAL NACIONAL SERGIO E. BERNALES""MINISTERIO DE SALUD"	PROYECTO JUEGOS PANAMERICANOS 2019 - DIRECCIÓN EJECUTIVA	NULL

1° FISCALIA PROVINCIAL PENAL CORPORATIVA DE VENTANILLA, SOBRE CONDUCCION ESTADO DE EBRIEDAD O DROGADICCIÓN,  PARA CONOCIMIENTOMINISTERIO PUBLICO	PROCURADURIA PUBLICA	SE FINALIZA LA PRESENTE HOJA DE RUTA, POR CUANTO MEDIANTE ESCRITO DE APERSONAMIENTO SE HA SOLICITADO REMISIÓN DE ÚLTIMOS ACTUADOS DE LA INVESTIGACIÓN. GUARDA RELACIÓN CON EL LEGAJO PENAL P-001844-2020

ACCESIBILIDAD DE LA SEÑAL RADIO Y TELEVISIÓN PARA GARANTIZAR EL ACCESO A LA EDUCACIÓN A TRAVÉS DE LA IMPLEMENTACIÓN DE LA ESTRATEGIA “APRENDO EN CASA”.DEFENSORIA DEL PUEBLO	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	NULL

SEPTIMA FISCALIA PROVINCIAL PENAL CORPORATIVA DEL CALLAO -SEGUNDO DESPACHO: SOLICITA EN EL PLAZO DE 48 HORAS  SI ELS R. LIMBER FERNANDEZ LOZANO CUENTA CON LICENCIA DE CONDUCIR  Y OTROS. MINISTERIO PUBLICO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	SE PROCEDE A FINALIZAR EN MERITO AL DOCUMENTO CONSIGNADO LINEAS ARRIBA

43 FISCALÍA PROVINCIAL PENAL DE LIMA, REMITO OFICIO N° 193-2020/43°FPPL-MP-FN, REMITA INFORME DE PAPELETAS DE VEHÍCULOS.MINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE PROCEDE A FINALIZAR EN MERITO AL DOCUMENTO CONSIGNADO LINEAS ARRIBA

SOLICITA UNA OPINIÓN INSTITUCIONAL DEL PROYECTO DE LEY 5704/2020-CR, QUE PROPONE UNA “LEY QUE REGULA EL CONTENIDO DE LA PROGRAMACIÓN DE RADIO Y TELEVISIÓN DURANTE EL HORARIO FAMILIARCONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	ATENDIDO CON OFICIO N° 135-2020-MTC/01 A LUIS CARLOS SIMEON HUSRTADO PDTE CTC CR OSPL N° 5704-2020-CR

REMITE DISPOSICIÓN N° 03-2020-3°FPPC, REPROGRAMA DILIGENCIAS Y ORDENA CONDUCCIÓN COMPULSIVA DE IMPUTADO (CASO NRO. 2506014504-2019-423-0)MINISTERIO PUBLICO	PROCURADURIA PUBLICA	A CONOCIMIENTO

ESTADO SITUACIONAL DE LA ADQUISICIÓN DE PLANTAS DUPLEX DE GENERACIÓN DE OXÍGENO Y DEL TIPO MÓVILES PARA LAS REGIONES PRIORIZADAS POR EL MINSAMINISTERIO DE SALUD	PROYECTO JUEGOS PANAMERICANOS 2019 - DIRECCIÓN EJECUTIVA	NULL

SOLICITA INFORMACION CON CARACTER DE MUY URGENTE  DEL PRIMER DESPACHO DE LA SEGUNDA FISCALÍA ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS DE LIMA, SI  LAS PERSONAS INDICADAS EN EL OFICIO, TIENEN PERMISO PARA EL TRANSPORTE TERRESTRE DE PERSONAS EN EL ÁMBITO NACIONALMINISTERIO PUBLICO	DIRECCION DE SERVICIOS DE TRANSPORTE TERRESTRE-(NUEVO-ROF)	SE ADJUNTA  ACUSE DE RECIBO (CORREO DE RECEPCIÓN) 

REMITIR INFORMACIÓN DE REQUERIDOS EN PROCESOS DE EXTINCIÓN DE DOMINIO.MINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE ADJUNTA ACUSE DE RECIBO  (CORREO ELECTRÓNICO) DE OFICIO N° 7469-2020-MTC/17.02

INFORME SOBRE DOCUMENTO DE FECHA 26 DE AGOSTO DE 2020.CONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE COMUNICACIONES	NULL

PRESENTA NOTIFICACION POR CONDUCCION EN ESTADO DE EBRIEDAD O DROGADICCION, DEL INVESTIGADO EZEQUIEL BRUNO RAMIREZMINISTERIO PUBLICO	PROCURADURIA PUBLICA	SE FINALIZA LA PRESENTE HOJA DE RUTA, POR CUANTO MEDIANTE ESCRITO DE APERSONAMIENTO SE HA SOLICITADO INFORMACIÓN SOBRE PAGO DE REPARACIÓN CIVIL. GUARDA RELACIÓN CON EL LEGAJO PENAL P-018206-2020

FSEDCF 2D / SOLICITA SE REMITA EN COPIAS FEDATEADAS. MINISTERIO PUBLICO	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE REMITIÓ OFICIO CONFORME

REF. OFICIO N°0373-2020-MTC/09. SOLICITUD DE OPINIÓN FAVORABLE DE LA DIRECCIÓN GENERAL DE PRESUPUESTO PÚBLICO PARA EFECTUAR MODIFICACIONES PRESUPUESTALES ENTRE PROYECTOS DE INVERSIÓN PÚBLICA.MINISTERIO DE ECONOMIA Y FINANZAS	OFICINA GENERAL DE PLANEAMIENTO Y PRESUPUESTO	SE EFECTUÓ LA MODIFICACIÓN PRESUPUESTARIA ENTRE PROYECTOS DE ACUERDO A LO COORDINADO CON EL PLIEGO Y EN CONCORDANCIA CON LOS OFICIOS  N°0303-2020-EF/50.06  Y  N°0302-2020-EF/50.06 CON LA NOTA DE MODIFICACIÓN PRESUPUESTARIA N° 179.

"2DO. DESPACHO DE LA FISCALÍA

PROVINCIAL CORPORATIVA ESPECIALIZADA

EN DELITOS DE CORRUPCIÓN DE

FUNCIONARIOS DE AYACUCHO, REMITE OFICIO PARA INFORMACIÓN SI LA PERSONA DE ODULIA TEJADA MERINO

ES PENSIONISTA DE SU ENTIDAD, PLAZO DE 3 DÍAS

HÁBILES. MINISTERIO PUBLICO"	OFICINA GENERAL DE GESTION DE RECURSOS HUMANOS-(NUEVO-ROF)	NULL

"BANDEJA DIGITAL: INVITACIÓN A LA DÉCIMA OCTAVA SESIÓN ORDINARIA VIRTUAL PARA EXPONER EL PROYECTO DE LEY N° 6153/2020-CR, QUE SE LEVARÁ A CABO DE MANERA VIRTUAL, A TRAVÉS DE LA PLATAFORMA MICROSOFT TEAMS, EL MARTES 15 DE SETIEMBRE DEL 2020, LAS 14.00 HORAS.
PCM"	DESPACHO MINISTERIAL	PARTICIPARA LA DGAC -DR.  LUIS NUÑEZ-DIR AUTORIZACIONES / FC

01º FISCALIA PROVINCIAL PENAL CORPORATIVA DE VENTANILLA : PARA CONOCIMIENTO MATERIA : CONDUCCION EN EN ESTADO DE EBRIEDAD , CASO NRO 4006014501-2019-2037-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	SE FINALIZA LA PRESENTE HOJA DE RUTA, POR CUANTO MEDIANTE ESCRITO DE APERSONAMIENTO SE HA SOLICITADO QUE SE REMITAN LOS ÚLTIMOS ACTUADOS RELACIONADOS CON LA INVESTIGACIÓN. GUARDA RELACIÓN CON EL LEGAJO PENAL P-001844-2020

"SOLICITA  INFORME SOBRE PROTOCOLOS DE TRANSPORTE ACUÁTICO.

CONGRESO DE LA REPUBLICA"	DESPACHO VICEMINISTERIAL DE TRANSPORTES	OFICIO ENTREGADO CONFORME

ACREDITACIÓN DE LA COMISIÓN DE CONTROL DEL SERVICIO DE CONTROL SIMULTÁNEO, EN LA MODALIDAD DE CONTROL CONCURRENTECONTRALORIA GENERAL DE LA REPUBLICA	DIRECCION GENERAL DE PROGRAMAS Y PROYECTOS DE TRANSPORTE-(NUEVO-ROF)	SE TOMÓ CONOCIMIENTO 

3° FISCALIA PROVINCIAL PENAL CORPORATIVA DE VENTANILLA. RESPECTO AL CASO N°4006014503-2020-112-0, REMITE DISPOSICIÓN N°02MINISTERIO PUBLICO	PROCURADURIA PUBLICA	SE FINALIZA LA PRESENTE HOJA DE RUTA POR CUANTO MEDIANTE ESCRITO DE APERSONAMIENTO SE HA SOLICITADO LA INFORMACIÓN RESPECTO DEL ABONO DE LA REPARACIÓN CIVIL EN FAVOR DEL MTC. GUARDA RELACIÓN CON EL LEGAJO PENAL P-13348-2020

TERCER DESPACHO DE INVESTIGACION  PRIMERA FISCALIA PROVINCIAL  PENAL CORPORATIVA  DE MARIANO MELGAR, MUY URGENTE - OFICIO DEL MINISTERIO PÚBLICO MARIANO MELGAR EN EL PLAZO DE TRES DIAS HABILESMINISTERIO PUBLICO	NULL	SE FINALIZA CORREO E-183427-2020 INGRESO CORREO DEL MPV

2° FISCALIA PROVINCIAL PENAL CORPORATIVO DE MAYNAS, NOTIFICA DISPOSICION 02  ABSTENCION SEGUIDO CONTRA CORA PACAYA ANGEL JHONMINISTERIO PUBLICO	PROCURADURIA PUBLICA	PASA PARA ARCHIVAR

1° FISCALIA PROVINCIAL PENAL CORPORATIVA DE VENTANILLA, CÉDULA DE NOTIFICACIÓN 3887-2020 DE LA 1°FPPCV - 3°DESPACHO DEL MINISTERIO PUBLICO DF. LIMA NOROESTEMINISTERIO PUBLICO	PROCURADURIA PUBLICA	SE FINALIZA LA PRESENTE HOJA DE RUTA, POR CUANTO MEDIANTE ESCRITO DE APERSONAMIENTO SE HA SOLICITADO VOUCHER DE PAGO POR CONCEPTO DE REPARACIÓN CIIVL EN EL DESPACHO FISCAL. GUARDA RELACIÓN CON EL LEGAJO PENAL P-018002-2020

3° FISCALIA PROVINCIAL PENAL CORPORATIVA DE VENTANILLA. RESPECTO AL CASO N°4006014503-2020-309-0, REMITE DISPOSICION N° 02MINISTERIO PUBLICO	PROCURADURIA PUBLICA	SE HA PROCEDIDO A FINALIZAR LA PRESENTE HOJA DE RUTA POR CUANTO MEDIANTE ESCRITO DE APERSONAMIENTO SE HA SOLICITADO INFORMACIÓN RESPECTO A ABONO DE REPARACIÓN CIVIL A FAVOR DEL MTC. GUARDA RELACIÓN CON EL LEGAJO P-18539-2020

INGRESADO POR LA MESA DE PARTES VIRTUAL. REMITE TARJETA DE FELICITACIÓN POR SU CARGO DE MINISTRO DE ESTADO EN LA CARTERA DE TRANSPORTES Y COMUNICACIONESCONGRESO DE LA REPUBLICA	SECRETARIA GENERAL	SE TOMÓ CONOCIMIENTO. ARCHIVAR.

PARA CONOCIMIENTO Y FINES TRASLADA DOCUMENTO DEL SR. ANSELMO VALVERDE MEDINA EN REPRESENTACIÓN DE LOS POBLADORES DEL DISTRITO DE MATARANI, SOLICITA LA REVISIÓN DEL CONTRATO ENTRE EL ESTADO PERUANO Y EL TERMINAL INTERNACIONAL DEL SUR, RESPECTO A LA CONSTRUCCIÓN DE UNA PLANTA DE CEMENTO, DENTRO DEL ÁREA CONCESIONADA, LA CUAL ESTARÍA COMPROMETIENDO LAS ACTIVIDADES ECONÓMICAS Y SALUD DE LA POBLACIÓN DEL PUEBLO DE MATARANI.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE FINALIZA CON EL MEMO 3881-2020-MTC/16 LA HOJA DE RUTA  194994-2020

BANDEJA DIGITAL: PONE EN CONOCIMIENTO PROBLEMÁTICA RESPECTO AL SERVICIO DE TRANSPORTE INTERPROVINCIAL DE PASAJEROS DEBIDO A LA EMERGENCIA SANITARIA, ENTRE OTROS.DESPACHO PRESIDENCIAL	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE TOMO CONOCIMIENTO Y SE ARCHIVO

3° FISCALIA PROVINCIAL PENAL CORPORATIVA DE VENTANILLA, REMITE  CEDULA DE NOTIFICACION 3324-2020MINISTERIO PUBLICO	PROCURADURIA PUBLICA	SE FINALIZA LA PRESENTE HOJA DE RUTA POR CUANTO MEDIANTE ESCRITO DE APERSONAMIENTO SE HA SOLICITADO LA INFORMACIÓN SOBRE EL ABONO DE LA REPARACIÓN CIVIL A FAVOR DEL MTC. GUARDA RELACIÓN CON EL LEGAJO PENAL P-16348-2019

SOLICITO REUNIÓN DE TRABAJO A FIN DE ATENDER LA INSTALACIÓN DE (02) PUENTES BAILEY SAGOLLO Y CHIPE EN LA REGIÓN TACNACONGRESO DE LA REPUBLICA	DESPACHO VICEMINISTERIAL DE TRANSPORTES	SE LLEVÓ A CABO REUNIÓN. ARCHIVAR.

SOLICITA APOYO PARA EL CENTRO POBLADO DE SANTA ROSA DE CHAQUICOCHA Y ANEXOS, DISTRITO DE SANTO DOMINGO DE ACOBAMBA, PROVINCIA DE HUANCAYO, REGIÓN JUNÍNPCM	SECRETARIA GENERAL	SE REMITIÓ OFICIO CONFORME

OFICIO Nº D004282-2020-PCM-SC - SOLICITA SE IMPLEMENTE EL SERVICIO DE TREN MASIVO LIMA CHOSICA POR EL FERROCARRIL CENTRAL, DURANTE EL TIEMPO QUE DURE EL PELIGRO DEL CONTAGIO MASIVO DEL COVID-19.PCM	DESPACHO VICEMINISTERIAL DE TRANSPORTES	NULL

SOLICITA INFORMACIÓN ACERCA SI LOS CIUDADANOS CARLOS ATIQUIPA CARETAS Y RITA JULIA ORTEGAL RUIZ CUENTAN CON AUTORIZACIÓN PARA REALIZAR TRANSPORTE DE MERCANCÍAS. MINISTERIO PUBLICO	DIRECCION GENERAL DE AUTORIZACIONES EN TRANSPORTES-(NUEVO-ROF)	SE ATENDIÓ CON OFICIO 12037-2020-MTC/17.03, SE REMITE AL ARCHIVO PARA SU CUSTODIA

